speed,checkpoint,checkpoint_path,seed,action_seed,deterministic,max_steps,steps,sim_seconds,wall_seconds,completed,terminated,truncated,final_progress,best_depth,border_steps
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,184091230,204352045,False,54000,13743,2748.6000000000004,2748.480832743,True,True,False,1.0,306.0,3645
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,184091230,204352045,False,54000,21193,4238.6,4238.589053008,True,True,False,1.0,306.0,0
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,391728405,411989220,False,54000,9940,1988.0,1987.5499926800003,True,True,False,1.0,306.0,0
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,391728405,411989220,False,54000,4864,972.8000000000001,972.8222417010002,True,True,False,1.0,306.0,0
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,548203719,568464534,False,54000,7747,1549.4,1549.3989510309984,True,True,False,1.0,306.0,0
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,548203719,568464534,False,54000,14218,2843.6000000000004,2843.6246283790024,True,True,False,1.0,306.0,0
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,723910864,744171679,False,54000,29311,5862.200000000001,5862.188618734006,True,True,False,1.0,306.0,10436
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,723910864,744171679,False,54000,4994,998.8000000000001,998.3756529610037,True,True,False,1.0,306.0,0
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,886431207,906692022,False,54000,10759,2151.8,2151.7958702350006,True,True,False,1.0,306.0,0
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,886431207,906692022,False,54000,25853,5170.6,5170.597372202996,True,True,False,1.0,306.0,0
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,1047293851,1067554666,False,54000,16082,3216.4,3216.3708955160037,True,True,False,1.0,306.0,0
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1047293851,1067554666,False,54000,5545,1109.0,1109.0419756970005,True,True,False,1.0,306.0,0
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1283049762,1303310577,False,54000,9786,1957.2,1957.0596452440004,True,True,False,1.0,306.0,502
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,1283049762,1303310577,False,54000,22578,4515.6,4515.590840253004,True,True,False,1.0,306.0,0
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,1538920476,1559181291,False,54000,14699,2939.8,2939.817442225998,True,True,False,1.0,306.0,0
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1538920476,1559181291,False,54000,9293,1858.6000000000001,1858.6020766470028,True,True,False,1.0,306.0,0
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1774309285,1794570100,False,54000,6147,1229.4,1229.402615464991,True,True,False,1.0,306.0,0
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,1774309285,1794570100,False,54000,21576,4315.2,4315.177395253006,True,True,False,1.0,306.0,753
1x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,2037185640,2057446455,False,54000,6540,1308.0,1308.0251568639942,True,True,False,1.0,306.0,0
1x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,2037185640,2057446455,False,54000,8551,1710.2,1710.230040303999,True,True,False,1.0,306.0,0
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,184091230,204352045,False,54000,19115,3823.0,384.2277052549907,True,True,False,1.0,306.0,6958
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,184091230,204352045,False,54000,32922,6584.400000000001,659.2810495120066,True,True,False,1.0,306.0,0
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,391728405,411989220,False,54000,15348,3069.6000000000004,308.79148286599957,True,True,False,1.0,306.0,0
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,391728405,411989220,False,54000,15652,3130.4,313.6210549279931,True,True,False,1.0,306.0,0
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,548203719,568464534,False,54000,12635,2527.0,252.82792645601148,True,True,False,1.0,306.0,0
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,548203719,568464534,False,54000,22486,4497.2,450.19746264998685,True,True,False,1.0,306.0,0
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,723910864,744171679,False,54000,23345,4669.0,467.45253371399303,True,True,False,1.0,306.0,2338
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,723910864,744171679,False,54000,54000,10800.0,1080.7242340039957,False,False,False,0.5952243208885193,183.0,40380
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,886431207,906692022,False,54000,12116,2423.2000000000003,243.1413466649974,True,True,False,1.0,306.0,0
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,886431207,906692022,False,54000,27542,5508.400000000001,552.0820841480017,True,True,False,1.0,306.0,0
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,1047293851,1067554666,False,54000,20660,4132.0,413.87852170399856,True,True,False,1.0,306.0,0
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1047293851,1067554666,False,54000,9355,1871.0,187.31728713600023,True,True,False,1.0,306.0,0
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1283049762,1303310577,False,54000,16766,3353.2000000000003,336.0216366270033,True,True,False,1.0,306.0,30
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,1283049762,1303310577,False,54000,22153,4430.6,444.15308817599725,True,True,False,1.0,306.0,2
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,1538920476,1559181291,False,54000,12252,2450.4,245.3481106669933,True,True,False,1.0,306.0,0
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1538920476,1559181291,False,54000,7999,1599.8000000000002,160.111076125002,True,True,False,1.0,306.0,0
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,1774309285,1794570100,False,54000,15277,3055.4,306.7211899230024,True,True,False,1.0,306.0,74
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,1774309285,1794570100,False,54000,11184,2236.8,223.91890402800345,True,True,False,1.0,306.0,0
10x,current,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_3238180_steps.zip,2037185640,2057446455,False,54000,24287,4857.400000000001,487.0770831609989,True,True,False,1.0,306.0,9108
10x,pre_acceleration,/home/sebastian/Documents/Casualties Unknown Projects/Reinforcement-Unknown/checkpoints/CB1_2026-08-08_02-13-52/casu_ppo_cb1_vb1_2091300_steps.zip,2037185640,2057446455,False,54000,12458,2491.6000000000004,249.65666135300125,True,True,False,1.0,306.0,0
